Name,Old_price,New_price,Discount,Rating
Multifunctional Mobile Phone Bluetooth Remote Controller,"₦ 10,000","₦ 5,399",46%,2 out of 5
Remote Control Organiser Stand,"₦ 10,900","₦ 7,799",28%,4.4 out of 5
Wifi Security Camera Bulb--1080IP 360°,"₦ 20,000","₦ 14,950",25%, 
Qasa Rechargeable Fan Replacement Battery 6V 4.5Ah (PIN TYPE),"₦ 15,000","₦ 11,999",20%,5 out of 5
Type C  OTG , ,"₦ 2,500", , 
JP-C2Powerful 3.1Home Theatre System+DVD Player+power Surge,"₦ 129,000","₦ 88,900",31%, 
Wireless 360 Rotational Light Bulb Wifi PTZ IP Camera,"₦ 45,000","₦ 30,000",33%, 
Heavy Bass Bluetooth Home Theatre System PLUS DVD Player,"₦ 90,000","₦ 68,500",24%, 
Powerful 3.1 Channel Bluetooth Home Theatre System,"₦ 107,000","₦ 78,500",27%, 
3.1CH Powerful X-Bass Bluetooth Home System With DVD,"₦ 89,500","₦ 72,050",19%, 
Remote Control- Organizer Remote Caddy Remote Holder Stand,"₦ 8,500","₦ 7,899",7%,5 out of 5
3.1CH Bluetooth Home System +DVD PLAYER + Power Surge,"₦ 99,500","₦ 70,000",30%, 
F9 Fingerprint Touch Bluetooth Earphones LED Display,"₦ 31,934","₦ 15,967",50%,4.1 out of 5
3.1 X-BASS Home Theatre System JP-6030 + DVD Player,"₦ 85,000","₦ 72,500",15%, 
Djack 5.1Channel Bluetooth Home Theatre System Dj-5055 + Powerful DVD Player,"₦ 180,000","₦ 150,000",17%, 
Type C OTG, ,"₦ 2,500", ,4.4 out of 5
Tiger Head 1.5V AA Alkaline Non-Rechargeable Batteries,"₦ 4,500","₦ 4,000",11%,3 out of 5
KJ10 Wireless In-ear Rotation Headphones,"₦ 30,000","₦ 18,950",37%,3.7 out of 5
2pcs OTG Mini Adapter For Android Smartphone, ,"₦ 3,000", ,3 out of 5
"J9 1920x1080P 15 ANSI Portable Home Theater Mini LED HD Digital Projector, Basic Version, AU Plug(Yellow White)","₦ 110,580","₦ 77,410",30%, 
Solar Powered PTZ CCTV Camera With Wireless Connection,"₦ 160,000","₦ 148,000",8%, 
30X60 Portable Telescope Double Tube Large Eyepiece,"₦ 20,248","₦ 19,124",6%, 
F7s 4k Pro 5G Professional Gps Obstacle Avoidance Drone 3km Control Distance With Extra Batteries,"₦ 800,000","₦ 699,000",13%, 
3.1 X-BASS Home Theatre System DJ 503 + DVD Player,"₦ 79,000","₦ 71,500",9%,4 out of 5
2 RCA AV Female To 1 RCA Male Y Splitter Video Cable,"₦ 2,743","₦ 1,920",30%, 
Home Theater System + Free Power Surge,"₦ 65,000","₦ 56,500",13%, 
Durable 4G/3G / Gsm Network  Booster Repeater ( Triband),"₦ 190,000","₦ 105,000",45%, 
Mini WiFi Camera 360 Degree Recorder HD Home Security CCTV,"₦ 44,300","₦ 42,999",3%,2 out of 5
3MP PTZ Wifi IP Mini Camera E27 Bulb Security Surveillance Smart Home Monitoring CCTV LED IR Light,"₦ 97,000","₦ 50,000",48%, 
4G/3G / Gsm Network  Booster Repeater ( Triband),"₦ 120,000","₦ 105,000",13%, 
4X ZOOM PTZ 3MP WiFi Mini IP Camera Wireless Auto Tracking Pan Tilt CCTV Waterproof Night Vision,"₦ 40,000","₦ 32,000",20%, 
Wireless Ip Cctv Bulb Camera Wi-Fi Cctv Camera, ,"₦ 45,000", , 
Dahua HDCVI 2MP CCTV Kit  4 Channels XVR And 4 Cameras 2MP,"₦ 130,000","₦ 120,000",8%, 
10 Inches Automatic Led Ringlight With Stand  And Phone/camera  Holder,"₦ 23,500","₦ 16,350",30%,5 out of 5
Pixiu Charms Ring Bracelet Set Chinese Feng Shui Amulet Brin, ,"₦ 20,000", , 
Firewire IEEE 1394 6 Pin Female F To USB M Male Cable Adapter,"₦ 5,345","₦ 3,563",33%,3 out of 5
Samsung Original Integrated Smart TV Samsung Remote,"₦ 3,250","₦ 2,990",8%,4.1 out of 5
3MP PTZ Wifi IP Mini Camera E27 Bulb Security Surveillance Smart Home Monitoring CCTV LED IR Light,"₦ 100,999","₦ 49,009",51%, 
4X ZOOM PTZ 3MP WiFi Mini IP Camera Wireless Auto Tracking Pan Tilt CCTV Waterproof Night Vision,"₦ 30,000","₦ 27,000",10%, 
Dahua HDCVI 2MP CCTV Kit  4 Channels XVR And 4 Cameras 2MP,"₦ 139,000","₦ 130,000",6%, 
Waterproof Phone Pouch - Universal Case For All Smartphones.,"₦ 9,500","₦ 7,800",18%,5 out of 5
3.1 X-BASS Home Theatre System + DVD Player,"₦ 90,000","₦ 71,000",21%, 
Professional 22inches RGB Ringlight + Tripod Stand Quality Recording,"₦ 165,500","₦ 89,650",46%, 
3.1CH Home Theatre System Dj503 And DVD Player + Power Surge,"₦ 83,500","₦ 75,000",10%,1 out of 5
Wifi HD 1080P 4G Sim Card Solar Powered IP Camera Waterproof IR Night Vision Surveillance Cam,"₦ 180,000","₦ 128,000",29%, 
DJ-1003 Home Theatre System /DVD Player,"₦ 95,000","₦ 71,000",25%,4 out of 5
DVD/AUDIO DOUBLE LAYER GLASS WALL SHELF, ,"₦ 10,999", , 
2pcs Silica Desiccant Humidity Moisture Absorb Box,"₦ 17,558","₦ 8,779",50%, 
"2 Pin Desktop Computer And Electric Kettle Power Cord. 3m,","₦ 7,000","₦ 3,600",49%,5 out of 5
1.5m Mini Condenser Clip-on Lapel Mic For Type C,"₦ 8,999","₦ 6,999",22%, 
3.5mm TRS Female Microphone Adapter Cable To TRRS Male For IPhone,"₦ 11,751","₦ 9,039",23%,5 out of 5
Dahua HDCVI 2MP CCTV Kit  4 Channels XVR And 4 Cameras 2MP,"₦ 130,000","₦ 120,600",7%, 
Professional 22inches RGB Ringlight + Tripod Stand Quality,"₦ 166,500","₦ 78,500",53%, 
Electronics Wireless Bluetooth Audio Receiver Transmitter,"₦ 10,700","₦ 8,900",17%,5 out of 5
"Pot Bottom Black Scale Decontamination, Household Stainless Steel Cleaning  Gel","₦ 10,000","₦ 9,500",5%, 
Boya BOYALINK 2.4GHz Wireless Lavalier Microphone System,"₦ 321,140","₦ 169,020",47%, 
FHD 1080P 24MP Digital Video Camcorder Camera DV HDMI 2.7'' TFT LCD 16X ZOOM,"₦ 159,940","₦ 147,944",8%, 
Extension Box With Free Adaptor SOCKET, ,"₦ 11,500", , 
Fingerprint Password Attendance Machine Time Clock Recorder,"₦ 217,404","₦ 171,591",21%,4.3 out of 5
VCR DVD TV Remote Control Holder-Black,"₦ 10,500","₦ 7,995",24%,5 out of 5
Andoer 50mm F1.7 Large Aperture Camera Lens Manual Focus Prime,"₦ 140,020","₦ 73,690",47%,5 out of 5
Hikvision High Definition 1080P CCTV Camera 4Indoor+4Outdoor Camera + 8Channel DVR,"₦ 300,000","₦ 248,000",17%, 
12 Inch RGB Fill Light Self Photo Beauty Colorful Ring Lamp,"₦ 35,000","₦ 25,000",29%, 
NEW Smart 1080P Solar Camera Waterproof 4G PIR Alarm PTZ,"₦ 150,000","₦ 149,999",1%, 
Tiger Head Alkaline R03 AAA,"₦ 4,000","₦ 3,800",5%, 
Dahua HDCVI 2MP CCTV Kit  4 Channels XVR And 4 Cameras 2MP,"₦ 128,000","₦ 120,000",6%,5 out of 5
Baofeng 10-piees Walkie Talkie BF-888S Radios,"₦ 199,000","₦ 130,000",35%, 
2MP PTZ Wifi IP Mini Camera  Smart  CCTV LED IR Light,"₦ 70,000","₦ 60,000",14%, 
18 Inches Brightest Led Ringlight Stand With 3 Phone Holder,"₦ 60,000","₦ 59,900",1%, 
10pcs DS1990A-F5 TM Card iButton Tag with wall-mounted Black,"₦ 4,756","₦ 2,526",47%, 
56CM 22inch RGB LED Multicolor Ring Light With 3Phone Holder,"₦ 175,650","₦ 75,500",57%,5 out of 5
"D Marc Wall Hanger For Large TV Up To 80"" Fit.","₦ 10,000","₦ 8,500",15%,4 out of 5
Cctv Sky Vision 2 In One CCTV RG59 Cable Video/Power 305M,"₦ 90,000","₦ 79,800",11%, 
"Mini Security Camera WiFi, With Inbuilt Battery Night Vision","₦ 30,000","₦ 25,500",15%, 
Xbox One/X/Slim Fast Dual Charger Station USB Charging With 2 Batteries For Xbox One Game,"₦ 55,000","₦ 34,999",36%, 
Hikvision High Definition 1080P CCTV Camera 4Indoor+4Outdoor Camera + 8Channel DVR,"₦ 290,000","₦ 250,000",14%, 
Dish Washing Brush With Liquid Soap Dispenser (3 Pieces), ,"₦ 6,900", ,5 out of 5
Solar Power 4G 1080P Wireless 10400mAh Battery IP Camera,"₦ 220,000","₦ 120,000",45%, 
LED 22 Inches RingLight +3 Holders And Remote & Selfie Light,"₦ 70,000","₦ 69,000",1%, 
"Mini Security Camera WiFi, With Inbuilt Battery Night Vision","₦ 35,000","₦ 25,500",27%, 
RGB 14 Inches Selfie Ring Light With Stand,"₦ 45,650","₦ 28,500",38%, 
3.5mm Jack Plug Audio Splitter Distributor Headphone White,"₦ 2,689","₦ 2,241",17%,4.6 out of 5
Baofeng 10-piees Walkie Talkie BF-888S Radios,"₦ 160,000","₦ 135,000",16%, 
Powerful 3.1Bluetooth Home Theatre System + DVD Player,"₦ 95,000","₦ 86,549",9%, 
"22 Inch RGB Dimmable LED Ring Light + Tripod Stand For Vlogging, Selfie, Photography, Video Lights, YouTube, Makeup, Video Studio","₦ 145,650","₦ 75,500",48%, 
Lithium Battery Charger Module Board 5V-32V to 0.8V-30V 5A LED Driver Step Down Buck Converter Board Constant Current Voltage,"₦ 5,292","₦ 2,646",50%,5 out of 5
Powerful 3.1Bluetooth Home Theatre System + DVD Player,"₦ 106,000","₦ 84,399",20%,3.4 out of 5
Ringlight LED 18 Inches ( EXTRA LARGE With 3 Phone Holder),"₦ 60,000","₦ 59,000",2%, 
Wireless Microphone Hanger Mic Wall Mount Holder Hook Clamp,"₦ 2,540","₦ 1,270",50%, 
3.1CH Heavy Bass Bluetooth Home Theatre System Plus DVD,"₦ 90,000","₦ 68,500",24%, 
Qasa Rechargeable Fan Replacement Battery 12V 4.5Ah,"₦ 20,000","₦ 17,999",10%,5 out of 5
1.5m Mini Condenser Clip-on Lapel Mic  (3.5mm),"₦ 8,999","₦ 6,999",22%, 
Led Professional Remote Control Ring Fill Light With Tripod[14inches],"₦ 35,500","₦ 25,500",28%, 
3.1 X-BASS Home Theatre System + DVD Player/ Surge,"₦ 89,000","₦ 74,500",16%,4.3 out of 5
1 Pair Car 50AMP Battery Alligator Clips Clamp Cable For High Power,"₦ 7,403","₦ 5,288",29%,2 out of 5
Baofeng Radio BF-888S Walkie Talkie WITH EAR PIECE-10PCS,"₦ 190,000","₦ 155,000",18%,5 out of 5
Dahua 8 Channel DVR Kit + 8 Full HD 1080P Cameras,"₦ 250,000","₦ 175,000",30%, 
Outdoor WiFi 1080P Solar Camera,"₦ 80,000","₦ 70,000",13%, 
Pixiu Charms Ring Bracelet Set Chinese Feng Shui Amulet Brin, ,"₦ 85,000", , 
Qasa Rechargeable UPS & Fan Replacement Battery 12V 7Ah, ,"₦ 30,850", ,1 out of 5
Hiwatt 9volts Battery 1pack Of 10 Pieces,"₦ 9,000","₦ 7,000",22%,5 out of 5
Garrett Original Body Scanner,"₦ 60,000","₦ 25,900",57%,1 out of 5
4G/3G / Gsm Network  Booster Repeater ( Triband),"₦ 120,000","₦ 105,000",13%, 
Dahua 8 Channel DVR Kit + 8 Full HD 1080P Cameras,"₦ 320,000","₦ 175,000",45%, 
Hikvision High Definition 1080P CCTV Camera 4Indoor+4Outdoor Camera + 8Channel DVR,"₦ 290,000","₦ 249,000",14%, 
18 Inch Ring Light LED - Ring Light Stand,"₦ 75,000","₦ 44,999",40%,4.3 out of 5
Cctv Sky Vision 2 In One CCTV RG59 Cable Video/Power 305M,"₦ 90,000","₦ 88,000",2%, 
"Light Box Studio Photo, Photography Shooting Light Tent", ,"₦ 8,999", ,4.3 out of 5
18 Inch Ring Light LED - Ring Light Stand (EXTRA LARGE 48CM),"₦ 69,999","₦ 44,999",36%,5 out of 5
Baofeng Two Way Walkie Talkie,"₦ 23,000 - ₦ 970,000","₦ 15,000 - ₦ 134,000",89%, 
4G/3G / Gsm Network  Booster Repeater ( Triband),"₦ 190,000","₦ 105,000",45%,5 out of 5
45CM 18inch RGB LED Multicolor Ring Light With 3Phone Holder,"₦ 145,650","₦ 49,500",66%, 
Qasa Rechargeable Fan Replacement Battery 12V 4.5Ah,"₦ 20,000","₦ 16,999",15%,5 out of 5
Solar Powered 4G Simcard PTZ CCTV Camera With Wireless Connection,"₦ 170,000","₦ 120,000",29%, 
Ring Light & Tripod Stand For Portable Makeup,"₦ 19,000","₦ 12,500",34%, 
LED 22 Inches RingLight +3 Holders And Remote,"₦ 70,000","₦ 69,000",1%, 
WiFi Camera Wireless Rechargeable Battery Powered IP Camera,"₦ 76,000","₦ 65,000",14%, 
Rotational Solar Powered 4G Intelligent PTZ Wireless Camera,"₦ 150,000","₦ 148,000",1%, 
3.5mm TRS Female Microphone Adapter Cable To TRRS Male For  /Android,"₦ 10,847","₦ 9,039",17%,5 out of 5
1080P HD Auto Tracking Wireless IP Camera,"₦ 36,000","₦ 29,999",17%,3 out of 5
Puluz Waterproof Housing Case For Insta360 X3,"₦ 98,528","₦ 68,970",30%, 
2pcs - Type C OTG, ,"₦ 2,500", ,2 out of 5
Dahua DAHUA 2MP HDCVI Bullet Camera,"₦ 22,500","₦ 17,500",22%, 
Remote Control Organiser Stand,"₦ 10,000","₦ 8,939",11%,4.4 out of 5
Qasa Rechargeable Fan Replacement Battery 6V 4.5Ah (PIN TYPE),"₦ 15,000","₦ 11,999",20%, 
100 Meter RG59 CCTV Full  Cable With Power,"₦ 28,000 - ₦ 30,000","₦ 20,000 - ₦ 28,000",29%, 
Hikvision 1080P AHD  2 Indoor + 2 Outdoor Camera + 4Channel DVR,"₦ 130,000","₦ 120,000",8%, 
Suitable For Sony NP-F550 USB Dual Charger For Sony NP-FM500H,"₦ 28,928","₦ 20,250",30%,5 out of 5
18 Inches Brightest Led Ringlight Stand With 3 Phone Holder,"₦ 60,000","₦ 59,000",2%, 
82mm Variable ND3-ND1000 ND Filter,"₦ 111,871","₦ 78,310",30%, 
"PORTABLE, FOLDABLE STAND FOR PAD, PHONES, LAPTOP", ,"₦ 10,500", ,4 out of 5
4G/3G / Gsm Network  Booster Repeater ( Triband),"₦ 250,000","₦ 100,000",60%,5 out of 5
Wireless Generic Powered 4G Intelligent PTZ CCTV  Camera,"₦ 160,000","₦ 124,999",22%, 
Qasa Rechargeable Fan Replacement Battery 12V 4.5Ah,"₦ 20,000","₦ 17,999",10%,5 out of 5
GOTV REMOTE CONTROLLER,"₦ 2,800","₦ 2,600",7%,2 out of 5
Disposable Quick Shoes Cleaning Wet Wipes, ,"₦ 4,900", , 
Panoramic Wireless Light Bulb Ip Camera Wifi 360 Degree Camera,"₦ 30,000","₦ 14,999",50%,5 out of 5
3.1CH Bluetooth Home System + DVD PLAYER,"₦ 88,500","₦ 72,500",18%, 
Hikvision CCTV Camera & 4 Channels DVR 1080p + 2 Indoor + 2 Outdoor,"₦ 150,000","₦ 140,000",7%, 
Xbox One/X/Slim Fast Dual Charger Station USB Charging With 2 Batteries For Xbox One Game,"₦ 55,000","₦ 34,999",36%, 
Dahua HDCVI 2MP CCTV Kit  4 Channels XVR And 4 Cameras 2MP,"₦ 150,000","₦ 129,000",14%, 
Latest Portable Ring Light & Tripod Stand,"₦ 19,500","₦ 12,500",36%,3.5 out of 5
22 Inch Dimmable Selfie Ring Light (EXTRA LARGE),"₦ 70,000","₦ 69,000",1%, 
Hikvision 1080P AHD  2 Indoor + 2 Outdoor Camera + 4Channel DVR,"₦ 120,000","₦ 118,000",2%, 
10 Inch Ring Light With Tripod Stand For Videography,"₦ 28,000","₦ 15,999",43%,4 out of 5
Wireless Full HD-compatible Transmission HDMI-compatible Wireless Extender Black,"₦ 526,751","₦ 351,161",33%,5 out of 5
Led 14inches With Remote Control Ring Fill Light With Tripod,"₦ 33,500","₦ 27,550",18%, 
Wireless 360 Rotational Light Bulb Wifi PTZ IP Camera,"₦ 45,000","₦ 30,000",33%, 
Wireless 360 Rotational Light Bulb Wifi PTZ IP Camera,"₦ 80,000","₦ 30,000",63%, 
Pixiu Charms Ring Bracelet Set Chinese Feng Shui Amulet Brin, ,"₦ 50,500", , 
"22 Inch RGB Dimmable LED Ring For Vlogging, Selfie, Photography, Video Lights, YouTube, Makeup, Video Studio","₦ 165,500","₦ 75,000",55%, 
Skyvision CCTV Camera RG59 & Power Pro Coaxial Cable-300M,"₦ 100,000","₦ 75,000",25%, 
10inch Ring Light Selfie - NO TRIPOD   (VERY BRIGHT),"₦ 15,500","₦ 13,500",13%, 
Pixiu Charms Ring Bracelet Set Chinese Feng Shui Amulet Brin, ,"₦ 180,000", , 
Best Quality Rotational Solar Powered 4G Simcard Camera,"₦ 290,000","₦ 120,000",59%, 
Hikvision AHD 1080N 8CH DVR 5IN1,"₦ 85,000","₦ 65,000",24%, 
4G/3G / Gsm Network  Booster Repeater ( Triband),"₦ 190,000","₦ 105,000",45%, 
Automatic RingLight LED 10 Inches Tripod Stand,"₦ 28,000","₦ 15,999",43%,3.7 out of 5
3.1 X-BASS Home Theatre System + DVD Player.,"₦ 88,000","₦ 72,500",18%,2 out of 5
1080P Wireless 360 Rotatable Light Bulb Wifi PTZ IP Cam,"₦ 50,000","₦ 30,000",40%, 
Smart Personal Robot Cameraman 360° Object Tracking Holder, ,"₦ 18,000", , 
Type C USB OTG, ,"₦ 2,500", ,5 out of 5
4G/3G / Gsm Network  Booster Repeater ( Triband),"₦ 190,000","₦ 110,000",42%, 
USB Charging Cable Wireless Game Controller Gamepad Joystick Power Supply Charger Cable Game Cables For Xbox 360,"₦ 20,000","₦ 10,999",45%, 
Unique Remote Control Steel  Organiser/holder Stand,"₦ 17,500","₦ 15,999",9%, 
WiFi Camera Wireless Rechargeable Battery Powered IP Camera,"₦ 76,000","₦ 65,000",14%, 
Pixiu Charms Ring Bracelet Set Chinese Feng Shui Amulet Brin, ,"₦ 77,000", , 
Solar Rotational Powered 4GSimcard With Wireless Connection,"₦ 200,000","₦ 145,000",28%, 
 Type C USB OTG, ,"₦ 2,500", , 
Baofeng 10-piees Walkie Talkie BF-888S Radios,"₦ 190,000","₦ 140,000",26%,5 out of 5
1080P ROTATIONAL IP CAMERA INDOOR WIFI BABY MONITOR,"₦ 55,000","₦ 45,000",18%, 
Winpossee AHD CCTV Camera - Set Of 4ch Dvr And Cameras,"₦ 189,000","₦ 139,000",26%, 
Light 12inches Professional Live Stream Holder.,"₦ 23,500","₦ 17,500",26%, 
Solar Powered 4G Simcard Intelligent PTZ Rotational Camera,"₦ 250,000","₦ 120,000",52%, 
Solar Powered 4G Sim Intelligent PTZ CCTV Wireless Camera,"₦ 180,000","₦ 124,999",31%, 
LED 22 Inches RingLight +3 Holders And Remote,"₦ 70,000","₦ 69,000",1%, 
Sony 2 Pieces Of Sony 9 Volts Rechargable Batteries, ,"₦ 9,000", ,5 out of 5
Wireless 360 Rotational Light Bulb Wifi PTZ IP Camera,"₦ 40,000","₦ 30,000",25%, 
Automatic 21” Inch 54cm Led Soft Ring Light & 3Phone Holder,"₦ 65,700","₦ 63,500",3%, 
Solar Powere 4G Simcard Intelligent PTZ CCTV Wireless Camera,"₦ 180,000","₦ 150,000",17%, 
Ringlight LED 18 Inches ( EXTRA LARGE With 3 Phone Holder),"₦ 60,000","₦ 59,000",2%, 
Outdoor WiFi 1080P IP Camera Low Power,"₦ 85,000","₦ 70,000",18%,4 out of 5
10 Inch Content Creation Ring Light + Stand & Accessories,"₦ 45,000","₦ 15,999",64%,3.8 out of 5
Table Top 10inch Ring Light Selfie -,"₦ 63,500","₦ 23,500",63%, 
Triband Mobile Signal Booster,"₦ 120,000","₦ 105,000",13%, 
NEW Smart 1080P Solar Camera Waterproof 4G PIR Alarm PTZ,"₦ 163,000","₦ 150,000",8%, 
Full HD 1080P 4G Outdoor Solar Security CCTV Camera 4G Sim,"₦ 170,000","₦ 149,999",12%, 
Hikvision High Definition 1080P CCTV Camera 4Indoor+4Outdoor Camera + 8Channel DVR,"₦ 250,000","₦ 230,000",8%, 
Baofeng 10-piees Walkie Talkie BF-888S Radios,"₦ 169,000","₦ 140,000",17%, 
3MP PTZ Wifi IP Mini Camera E27 Bulb Security Surveillance Smart Home Monitoring CCTV LED IR Light,"₦ 1,000,000","₦ 55,000",95%, 
3MP PTZ Wifi IP Mini Camera E27 Bulb Security Surveillance Smart Home Monitoring CCTV LED IR Light,"₦ 65,000","₦ 60,000",8%, 
Hikvision CCTV Camera & 4 Channels DVR 1080p + 2 Indoor + 2 Outdoor,"₦ 190,000","₦ 130,000",32%, 
Hikvision CCTV Camera & 4 Channels DVR 1080p + 2 Indoor + 2 Outdoor,"₦ 180,000","₦ 149,999",17%, 
10Mt LC To LC Fiber Patch Cable Cord Jumper,"₦ 4,000","₦ 3,450",14%, 
Panoramic CCTV 360° 3D CAMERA Metal,"₦ 60,000","₦ 55,000",8%, 
PTZ Wifi IP Mini Camera E27 Bulb Security Surveillance Smart Home Monitoring CCTV LED IR Light,"₦ 90,000","₦ 53,000",41%, 
WiFi Camera Wireless Rechargeable Battery Powered IP Camera,"₦ 80,000","₦ 70,000",13%, 
Unique Remotes Control Organiser,"₦ 12,500","₦ 10,000",20%, 
Solar Powered 4G Simcard PTZ CCTV Wireless Camera, ,"₦ 150,000", , 
Hilook Dome Cctv Indoor Camera 720p 3 In 1,"₦ 70,000","₦ 60,000",14%, 
American 4G/3G / Gsm Network  Booster Repeater ( Triband),"₦ 108,000","₦ 105,000",3%, 
4G/3G / Gsm Network  Booster Repeater ( Triband),"₦ 190,000","₦ 106,000",44%, 
Godox TT520ⅡUniversal On-Camera Flash Electronic Speedlite,"₦ 142,430","₦ 74,960",47%, 
"Medisana Shiatsu Whole, Upper & Lower Back Massager With Heat", ,"₦ 200,000", , 
Panoramic Camera Wireless Light Bulb IpCamera Wifi 360Degree,"₦ 30,000","₦ 29,000",3%, 
USB Charging Cable Wireless Game Controller Gamepad Joystick Power Supply Charger Cable Game Cables For Xbox 360,"₦ 20,000","₦ 9,999",50%, 
Hikvision High Definition 1080P CCTV Camera 4Indoor+4Outdoor Camera + 8Channel DVR,"₦ 280,000","₦ 250,000",11%, 
14Inches 36cm Automatic Led Ring Light With Tripod Stand, ,"₦ 35,000", , 
WiFi Camera Wireless Rechargeable Battery Powered IP Camera,"₦ 90,000","₦ 68,000",24%, 
TNC Female To TNC Female Connector,"₦ 6,244","₦ 4,309",31%,5 out of 5
Qasa Rechargeable Fan Replacement Battery 6V 4.5Ah (PIN TYPE),"₦ 15,000","₦ 11,500",23%, 
Automatic 21” Inch 54cm Led Soft Ring Light & 3Phone Holder,"₦ 95,000","₦ 83,500",12%, 
Baofeng BF-888S Walkie Talkie Single Band Two Way Radio 4pair,"₦ 70,000","₦ 65,000",7%,5 out of 5
Panoramic CCTV 360° 3D CAMERA Metal,"₦ 60,000","₦ 55,000",8%, 
Qasa Rechargeable Fan Replacement Battery 6V 4.5Ah (PIN TYPE),"₦ 15,000","₦ 11,999",20%, 
Best Quality Rotational Solar Powered 4G Simcard Camera,"₦ 290,000","₦ 120,000",59%, 
Solar Power 4G 1080P Wireless 10400mAh Battery IP Camera,"₦ 200,000","₦ 120,000",40%, 
Pixiu Charms Ring Bracelet Set Chinese Feng Shui Amulet Brin, ,"₦ 80,999", , 
Best Quality 1080P 4G Sim Card Solar Powered IP IR Surveillance Camera,"₦ 250,000","₦ 120,000",52%, 
Remote Control Full Complete Door Access Control Kit +180kg Magnetic Lock,"₦ 340,000","₦ 185,265",46%, 
Low Power Outdoor Camera,"₦ 200,000","₦ 180,000",10%, 
Rotational Solar Powered 4G Simcard Intelligent Camera,"₦ 290,000","₦ 120,000",59%, 
1080P 2MP WiFi Panoramic Bulb Security Cameras 360 Degree,"₦ 29,000","₦ 24,000",17%, 
3MP PTZ Wifi IP Mini Camera E27 Bulb Security Surveillance Smart Home Monitoring CCTV LED IR Light,"₦ 65,000","₦ 50,000",23%, 
Dahua HDCVI 2MP CCTV Kit  4 Channels XVR And 4 Cameras 2MP,"₦ 135,000","₦ 120,400",11%, 
Series 8 Phone Watch For Calls/Messages 2PC Black/Orange,"₦ 125,000","₦ 55,400",56%,4 out of 5
Best Quality Rotational Solar Powered 4G Simcard Camera,"₦ 290,000","₦ 120,000",59%, 
Hikvision CCTV Camera & 4 Channels DVR 1080p + 2 Indoor + 2 Outdoor,"₦ 160,000","₦ 138,000",14%, 
Dahua HDCVI 2MP CCTV Kit  4 Channels XVR And 4 Cameras 2MP,"₦ 140,000","₦ 120,600",14%, 
NEW Smart 1080P Solar Camera Waterproof 4G PIR Alarm PTZ,"₦ 160,000","₦ 149,999",6%, 
56CM 22inch RGB LED Multicolor Ring Light With 3Phone Holder,"₦ 145,650","₦ 82,550",43%, 
AC Power Supply Adapter Cords Cord Cable AC Adapters For Home 1m,"₦ 12,000","₦ 3,500",71%, 
100 Meter RG59 CCTV Full  Cable With Power,"₦ 25,000 - ₦ 69,000","₦ 23,500 - ₦ 45,000",35%, 
Dahua 8 Channel DVR Kit + 8 Full HD 1080P Cameras,"₦ 230,000","₦ 175,000",24%, 
Dahua 8 Channel DVR Kit + 8 Full HD 1080P Cameras,"₦ 190,000","₦ 175,000",8%, 
4G/3G / Gsm Network  Booster Repeater ( Triband),"₦ 190,000","₦ 105,000",45%,2 out of 5
Best Quality Rotational Solar Powered 4G Simcard Camera,"₦ 290,000","₦ 120,000",59%, 
10Meter LC To LC Fiber Patch Cable Cord,"₦ 7,000","₦ 3,900",44%,5 out of 5
4G/3G / Gsm Network  Booster Repeater ( Triband),"₦ 190,000","₦ 106,000",44%, 
NEW Smart 1080P Solar Camera Waterproof 4G PIR Alarm PTZ,"₦ 190,000","₦ 144,999",24%, 
4G/3G / Gsm Network  Booster Repeater ( Triband),"₦ 160,000","₦ 105,000",34%, 
NEW Smart 1080P Solar Camera Waterproof 4G PIR Alarm PTZ,"₦ 180,000","₦ 149,965",17%, 
4G Solar IP  Wireless Camera With Built-in Battery,"₦ 180,000","₦ 149,999",17%, 
4G/3G / Gsm Network  Booster Repeater ( Triband),"₦ 190,000","₦ 105,000",45%, 
Best Quality Rotational Solar Powered 4G Simcard Camera,"₦ 290,000","₦ 120,000",59%, 
LC To LC Core Fiber Optical Patch Cable Cord   5m, ,"₦ 3,900", , 
Solar Power 4G Simcard Intelligent PTZ CCTV Wireless Camera,"₦ 160,000","₦ 149,999",6%, 
4G/3G / Gsm Network  Booster Repeater ( Triband),"₦ 190,000","₦ 106,500",44%, 
4G/3G / Gsm Network  Booster Repeater ( Triband),"₦ 190,000","₦ 105,000",45%, 
22 Inch Dimmable Selfie Ring Light (EXTRA LARGE),"₦ 70,000","₦ 69,900",1%, 
Super Quality RG59+P Cable Video/Power 305M,"₦ 79,000 - ₦ 150,000","₦ 75,000 - ₦ 120,009",20%, 
12 Inch RGB Fill Light Self Photo Beauty Colorful Ring Lamp,"₦ 35,000","₦ 25,000",29%, 
Best Quality Rotational Solar Powered 4G Simcard Camera,"₦ 290,000","₦ 120,000",59%, 
Automatic 21” Inch 54cm Led Soft Ring Light & 3Phone Holder,"₦ 125,650","₦ 77,500",38%, 
SmartWatch Series8 For Calls/Messages 2PC Black/Orange,"₦ 125,000","₦ 55,550",56%, 
Orei Universal Socket Travel Adapter Plug - 4 In A Pack ,"₦ 39,000","₦ 35,000",10%,5 out of 5
SmartWatch Series8 Use For Calls/Messages 2PCS Black/Orange,"₦ 125,000","₦ 55,370",56%, 
NEW Smart 1080P Solar Camera Waterproof 4G PIR Alarm PTZ,"₦ 160,000","₦ 149,999",6%, 
