Name,Old_price,New_price,Discount,Rating
Hikers 50'' Inch Frameless Android Smart 4K LED TV-Black+WALLMOUNT - One Year Warranty,"₦ 409,999","₦ 359,900",12%,3.9 out of 5
8K 60HZ HDMI Cable 2.1 HDMI Braided Cord-48Gbps,"₦ 8,725","₦ 4,450",49%,4.9 out of 5
écouteurs Sans Fil Bluetooth Pliables,"₦ 20,426","₦ 8,900",56%,4.2 out of 5
T95Z Plus Android 12.0 Smart TV Box Allwinner H618 4GB+64GB,"₦ 113,020","₦ 59,480",47%,4.4 out of 5
UFC 43” Inches 4k UHD Smart TV Netflix +FREE WALL BRACKET,"₦ 2,327,000","₦ 219,290",91%,4.4 out of 5
D Marc TV Guard Voltage Protection Adaptor - WHITE 0019,"₦ 6,150","₦ 4,950",20%,4.1 out of 5
"Amani 55”Inches Android Smart 4k Amani Tv+ Free Gift Inside,","₦ 1,000,000","₦ 382,990",62%,3.6 out of 5
Live Streaming Vlogging Kit LED Video Light Tripod Phone Holder + Microphone For YouTube/Tiktok/Facebook/Camera,"₦ 34,000","₦ 17,950",47%,3.8 out of 5
LG 40W Bluetooth Sound Bar (AUD 1 SK) - Black,"₦ 93,794","₦ 87,250",7%,4.4 out of 5
USB Lighting Kit For Live Video Recording,"₦ 62,220","₦ 31,670",49%,4.4 out of 5
PowMr 3KVA 80a PWM Hybrid Solar Inverter  24V 80Voc 230Vac,"₦ 399,252","₦ 256,377",36%,4.5 out of 5
Clip On Earphones Bone Conduction  Sports Bluetooth Headsets,"₦ 10,294","₦ 8,578",17%,3.8 out of 5
Qsonic Home Theater Argon Bluetooth SoundBar With External Woofer,"₦ 128,631","₦ 98,800",23%,4.4 out of 5
Mini LED Projector Portable Built-in Speaker&Remote Control,"₦ 86,668","₦ 49,120",43%,3.4 out of 5
"Sanyo 32"" INCHES SMART FULL HD TV","₦ 170,000","₦ 146,000",14%,4.2 out of 5
Anycast Smartphone To TV Connector -Screen Casting Device - Anycast - Mobile Projector Adapter,"₦ 28,000","₦ 11,999",57%,3.4 out of 5
Lightning To 3.5mm Headphone Jack Adapter For IPhone 7 8 X Xs Max 11pro Max,"₦ 7,700","₦ 2,900",62%,4 out of 5
Pro3 Wireless Bluetooth Fashion Earphones-Black,"₦ 10,480","₦ 8,989",14%,3.9 out of 5
6.3 Mm Stereo Plug To 3.5 Mm Headphone Jack Adaptor Jack,"₦ 5,000 - ₦ 9,500","₦ 2,500 - ₦ 5,000",50%,4.8 out of 5
Andoer USB LED Video Photography Lighting Kit - 1.48m - 2pcs,"₦ 56,050","₦ 29,500",47%,4.3 out of 5
Bluetooth 5.0Wireless Waterproof Noise Reduction Headsets,"₦ 6,637","₦ 5,531",17%,3.8 out of 5
360°surveillance Camera Smart Wireless HD Night Visioncamera,"₦ 25,700","₦ 15,500",40%,2 out of 5
Tedber Octavia Bluetooth 5.0 Soundbar LP-S16 Rechargeable Bluetooth Speaker With Built-in Subwoofer HT,"₦ 65,500","₦ 37,500",43%,4 out of 5
Automatic Led Ringlight 10 Inches + Stand And Phone Holder,"₦ 39,000","₦ 15,999",59%,3.8 out of 5
S1S 4K HD ESC Dual Camera Drone Optical Flow Obstacle Avoidance Brushless FPV RC Quadcopter, ,"₦ 104,999", ,4.4 out of 5
Solar Powered 4G Simcard PTZ CCTV Wireless Camera,"₦ 180,000","₦ 120,000",33%,4.5 out of 5
Samsonic 55 Inches Smart 4K UHD TV + Free Wall Bracket-,"₦ 545,000","₦ 398,500",27%,4 out of 5
1080P Surveillance Cameras Wireless WiFi Camera Night Light Bulb Monitor Video Surveillance Camera,"₦ 38,494","₦ 23,125",40%,4.1 out of 5
Bone Conduction Bluetooth Headsets Wireless Earphones,"₦ 6,442","₦ 5,368",17%,3.7 out of 5
Starry Projector Light Led Night Lamp With Remote Control,"₦ 23,620","₦ 14,850",37%,4.5 out of 5
Dstv LATEST DSTV HD Decoder Remote,"₦ 5,000","₦ 2,500",50%,3.8 out of 5
S1S 4K HD ESC Dual Camera Drone Optical Flow Obstacle Avoidance Brushless FPV RC Quadcopter, ,"₦ 104,999", ,4.4 out of 5
Jbl FLIP 6 Waterproof Portable Bluetooth Speaker, ,"₦ 162,000", ,4.7 out of 5
Cky Kleio Rechargeable Soundbar Bluetooth Stereo Bass HT,"₦ 39,500","₦ 28,900",27%,3.5 out of 5
Automatic Led Ringlight With Tripod Stand For Videography,"₦ 39,000","₦ 15,999",59%,4 out of 5
Andoer TFT Portable Digital Camera 48MP 4K Ultra HD 16X Zoom - 3in,"₦ 144,920","₦ 76,270",47%,4 out of 5
Dp  Led Light Lithium  Rechargeable Battery/charger, ,"₦ 6,500", ,3.6 out of 5
D Marc WALL BRACKET FOR TV / TELEVISION - 32- 39 - 40-42-46-48-49-50-55-58’-60-65-TELEVISION TV WALL HANGER / BRACKET,"₦ 5,700","₦ 4,350",24%,4.2 out of 5
Mini LED Projector Portable Built-in Speaker&Remote Control,"₦ 86,668","₦ 49,120",43%,3.4 out of 5
Home Theater System With Bluetooth Function,"₦ 60,500","₦ 52,500",13%,4.5 out of 5
Perfect XBass Bluetooth Home Theater,"₦ 59,000","₦ 58,000",2%,3 out of 5
Mini Wireless Bluetooth USB 2.0 Adapter Dongle For Pc Mouse / Keyboard,"₦ 4,500","₦ 3,900",13%,3.7 out of 5
1080P Surveillance Cameras Wireless WiFi Camera Night Light Bulb Monitor Video Surveillance Camera,"₦ 38,494","₦ 23,125",40%,4.1 out of 5
Amani 43''Inche Smart TV With Strong Screen + FREE Gift Inside( Amani),"₦ 234,890","₦ 223,490",5%,4 out of 5
Magcubic Transpeed Projector 4K Android 11 8GB ROM BT5.0 1080P Wifi6,"₦ 265,000","₦ 191,250",28%,4.6 out of 5
Flash Light Cute Cat Ear Headphones Wireless,"₦ 16,618","₦ 8,600",48%,3.9 out of 5
Foldable Bluetooth Wireless Headphones-black,"₦ 13,566","₦ 8,900",34%,3.8 out of 5
Blackmore PartySpeaker Bluetooth Party Trolley Speaker/ Public Address System 15 Inches With Tripod Speaker,"₦ 99,500","₦ 74,900",25%,3.6 out of 5
Powerful Home Theater System,"₦ 100,000","₦ 78,000",22%,3.5 out of 5
